Nome do teste,Descrição,Variante vencedora,Margem líquida (R$),% Cashback vencedor,p-valor,Estatisticamente significativo,Decisão,Data da análise
Cashback Parceiro A,"Teste A/B de % de cashback — Parceiro A, 2011-01-01 a 2011-04-02, 3 variantes",Grupo 1,404711.0,4.16,0.1315,Não,Escalar Grupo 1 para 100% do tráfego,2026-07-16
Cashback Parceiro B,"Teste A/B de % de cashback — Parceiro B, 2011-05-01 a 2011-06-30, 3 variantes",Grupo 1,286570.0,4.0,0.0,Sim,Escalar Grupo 1 para 100% do tráfego,2026-07-16
Cashback Parceiro C,"Teste A/B de % de cashback — Parceiro C, 2011-07-01 a 2011-08-14, 2 variantes",Grupo 1,34769.0,5.0,0.0,Sim,Escalar Grupo 1 para 100% do tráfego,2026-07-16
